ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
NVRI,2021-06-02,2021-06-16,23.33,22.34,535.7908,-530.43,-0.53,14,F3_FAIL,UPTREND
MTD,2021-06-14,2021-06-28,1329.33,1381.67,9.3896,491.45,0.492,14,F3_FAIL,UPTREND
PANW,2021-06-28,2021-07-02,63.2583,62.1367,196.6241,-220.55,-0.222,4,F3_FAIL,UPTREND
STAA,2021-06-24,2021-07-06,155.0,142.6,80.4239,-997.26,-1.0,12,STOP,UPTREND
AMN,2021-07-01,2021-08-10,97.39,105.0,127.6843,971.68,0.977,40,F3_FAIL,UPTREND
NSA,2021-08-16,2021-08-24,42.9707,41.9243,294.9919,-308.67,-0.304,8,F3_FAIL,UPTREND
VICR,2021-08-24,2021-08-27,123.0,122.84,105.7857,-16.93,-0.016,3,F3_FAIL,UPTREND
NOW,2021-08-10,2021-09-23,117.6,132.844,107.6223,1640.59,1.62,44,F3_FAIL,UPTREND
SNPS,2021-08-06,2021-09-28,292.33,301.93,43.2379,415.08,0.41,53,F3_FAIL,UPTREND
CDNS,2021-08-13,2021-09-28,152.32,152.32,82.9417,0.0,0.0,46,STOP,UPTREND
AVTR,2021-08-27,2021-09-29,39.59,40.82,328.6415,404.23,0.388,33,F3_FAIL,UPTREND
SYNA,2021-08-24,2021-10-04,174.5,174.5,74.5652,0.0,0.0,41,STOP,UPTREND
GSHD,2021-08-31,2021-10-25,133.5431,151.0334,99.9124,1747.49,1.637,55,F3_FAIL,UPTREND
PARR,2021-10-26,2021-10-27,17.09,15.7228,794.6963,-1086.51,-1.0,1,STOP,UPTREND
CZR,2021-10-06,2021-11-04,113.01,103.9692,117.9551,-1066.41,-1.0,29,STOP,CHOPPY
PGNY,2021-10-26,2021-11-05,62.37,62.37,217.7547,0.0,0.0,10,STOP,UPTREND
ANIP,2021-11-05,2021-11-10,51.04,46.9568,274.6547,-1121.47,-1.0,5,STOP,UPTREND
EOG,2021-11-08,2021-11-19,77.4956,71.2959,180.0739,-1116.39,-1.0,11,STOP,UPTREND
OXM,2021-11-02,2021-11-26,83.3321,83.3321,163.393,0.0,0.0,24,STOP,UPTREND
AYI,2021-11-08,2021-11-30,215.7879,198.5249,64.6697,-1116.39,-1.0,22,STOP,UPTREND
MTD,2021-12-28,2022-01-07,1680.22,1545.8024,8.297,-1115.27,-1.0,10,STOP,UPTREND
EPAM,2021-07-12,2022-01-10,536.82,536.82,22.998,0.0,0.0,182,STOP,UPTREND
TER,2021-11-30,2022-01-10,151.1699,151.1699,87.9902,0.0,0.0,41,STOP,UPTREND
AOS,2021-12-13,2022-01-21,77.3603,71.1715,174.6447,-1080.85,-1.0,39,STOP,UPTREND
ARCB,2021-09-24,2022-01-28,74.1514,83.9386,184.7896,1808.58,1.65,126,F4_FAIL,UPTREND
CNXC,2022-02-14,2022-02-24,186.7731,171.8313,65.3881,-977.02,-1.0,10,STOP,CHOPPY
NUE,2022-04-14,2022-04-22,154.9292,154.9292,78.0397,0.0,0.0,8,STOP,CHOPPY
